Player Name,Team,WKT,MAT,INN,OVR,RUNS,BBI,AVG,ECO,SR,4W,5W
Player DK,GT,25,15,15,59.0,488,41/4,19.52,8.27,14.16,1,0
Player DF,CSK,24,14,14,50.0,408,18/4,17.0,8.16,12.5,2,0
Player BH,RCB,22,12,12,44.0,386,33/4,17.54,8.77,12.0,1,0
Player FL,MI,22,16,16,57.4,517,26/4,23.5,8.96,15.72,1,0
Player Q,PBKS,21,17,16,58.2,518,16/3,24.66,8.88,16.66,0,0
Player EL,GT,19,15,15,42.3,393,30/3,20.68,9.24,13.42,0,0
Player BB,MI,18,12,12,47.2,316,22/4,17.55,6.67,15.77,1,0
Player FS,KKR,17,13,13,50.0,383,22/3,22.52,7.66,17.64,0,0
Player BP,RCB,17,15,15,46.0,379,45/4,22.29,8.23,16.23,1,0
Player Z,RCB,17,14,14,52.0,483,33/3,28.41,9.28,18.35,0,0
Player FQ,KKR,17,12,12,42.3,430,29/3,25.29,10.11,15.0,0,0
Player DH,SRH,16,14,14,49.4,450,19/3,28.12,9.06,18.62,0,0
Player CF,PBKS,16,14,14,47.1,434,17/3,27.12,9.2,17.68,0,0
Player CQ,GT,16,15,15,57.0,527,17/4,32.93,9.24,21.37,1,0
Player GJ,PBKS,16,14,13,45.0,430,28/4,26.87,9.55,16.87,2,0
Player AT,SRH,16,13,13,43.5,430,28/4,26.87,9.8,16.43,2,0
Player BQ,DC,15,14,13,51.0,361,22/3,24.06,7.07,20.4,0,0
Player BO,CSK,15,14,14,46.4,447,29/3,29.8,9.57,18.66,0,0
Player AU,KKR,15,13,13,44.0,448,25/3,29.86,10.18,17.6,0,0
Player AI,LSG,14,13,13,52.0,429,30/2,30.64,8.25,22.28,0,0
Player AQ,MI,14,15,14,35.0,342,36/5,24.42,9.77,15.0,0,1
Player CN,DC,14,11,10,36.0,366,35/5,26.14,10.16,15.42,0,1
Player AL,SRH,13,7,7,26.4,238,31/3,18.3,8.92,12.3,0,0
Player GF,RCB,13,15,15,49.0,470,18/2,36.15,9.59,22.61,0,0
Player CH,CSK,13,12,12,41.5,424,36/3,32.61,10.13,19.3,0,0
Player U,LSG,13,13,13,47.2,487,37/3,37.46,10.28,21.84,0,0
Player EV,LSG,13,10,10,34.0,375,34/4,28.84,11.02,15.69,1,0
Player FF,KKR,12,12,12,45.0,351,13/3,29.25,7.8,22.5,0,0
Player CV,DC,12,12,12,39.3,408,33/4,34.0,10.32,19.75,1,0
Player BC,SRH,11,7,7,23.5,175,24/3,15.9,7.34,13.0,0,0
Player FZ,RR,11,11,11,41.0,371,35/4,33.72,9.04,22.36,1,0
Player FW,DC,11,14,13,39.0,356,18/2,32.36,9.12,21.27,0,0
Player AC,MI,11,14,14,41.0,376,2-Dec,34.18,9.17,22.36,0,0
Player BE,RR,11,12,12,45.3,431,25/3,39.18,9.47,24.81,0,0
Player CC,RR,11,11,11,42.0,410,26/2,37.27,9.76,22.9,0,0
Player S,MI,11,7,7,20.3,232,24/4,21.09,11.31,11.18,1,0
Player CM,MI,10,13,13,39.3,313,3-Nov,31.3,7.92,23.7,0,0
Player EA,CSK,10,14,14,37.5,324,17/2,32.4,8.56,22.7,0,0
Player AR,PBKS,10,8,7,22.0,190,22/3,19.0,8.63,13.2,0,0
Player DW,GT,9,15,15,55.0,514,25/2,57.11,9.34,36.66,0,0
Player EP,RR,9,10,10,36.3,361,21/2,40.11,9.89,24.33,0,0
Player FN,RR,9,10,10,32.0,340,44/3,37.77,10.62,21.33,0,0
Player DY,LSG,9,11,11,37.0,401,18/2,44.55,10.83,24.66,0,0
Player O,CSK,8,8,8,21.3,172,13/3,21.5,8.0,16.12,0,0
Player FI,RCB,8,14,14,50.0,442,17/3,55.25,8.84,37.5,0,0
Player Y,PBKS,8,9,8,27.0,279,33/2,34.87,10.33,20.25,0,0
Player K,KKR,8,13,9,18.1,217,21/2,27.12,11.94,13.62,0,0
Player BM,MI,7,6,5,15.0,128,23/3,18.28,8.53,12.85,0,0
Player DZ,CSK,7,9,9,31.0,283,41/2,40.42,9.12,26.57,0,0
Player CO,KKR,6,6,5,16.0,136,23/2,22.66,8.5,16.0,0,0
Player GC,MI,6,13,8,14.0,120,14/2,20.0,8.57,14.0,0,0
Player FU,MI,6,5,5,12.0,109,32/3,18.16,9.08,12.0,0,0
Player GK,SRH,6,10,10,33.5,333,42/3,55.5,9.84,33.83,0,0
Player CR,GT,6,9,9,21.0,217,1-Jul,36.16,10.33,21.0,0,0
Player EH,RCB,6,8,7,14.0,151,14/2,25.16,10.78,14.0,0,0
Player CP,SRH,6,9,9,30.0,337,28/2,56.16,11.23,30.0,0,0
Player GD,LSG,6,3,3,10.2,132,27/3,22.0,12.77,10.33,0,0
Player V,DC,5,12,11,34.0,288,19/2,57.6,8.47,40.8,0,0
Player BX,PBKS,5,4,4,11.2,104,37/2,20.8,9.17,13.6,0,0
Player AS,SRH,5,3,3,10.0,98,34/3,19.6,9.8,12.0,0,0
Player BV,PBKS,5,4,4,15.0,147,48/3,29.4,9.8,18.0,0,0
Player CX,DC,4,3,3,11.0,87,33/3,21.75,7.9,16.5,0,0
Player AP,PBKS,4,7,6,13.0,110,1-May,27.5,8.46,19.5,0,0
Player J,LSG,4,3,3,11.1,99,30/2,24.75,8.86,16.75,0,0
Player F,LSG,4,13,5,11.0,102,30/2,25.5,9.27,16.5,0,0
Player BY,RCB,4,2,2,8.0,81,30/3,20.25,10.12,12.0,0,0
Player FY,PBKS,4,5,5,17.0,181,44/2,45.25,10.64,25.5,0,0
Player I,RR,4,4,4,15.0,166,29/3,41.5,11.06,22.5,0,0
Player AX,GT,4,7,7,18.2,205,18/1,51.25,11.18,27.5,0,0
Player AK,DC,4,6,5,15.0,171,24/1,42.75,11.4,22.5,0,0
Player GI,RR,4,4,4,11.0,131,47/3,32.75,11.9,16.5,0,0
Player EE,RR,3,14,9,20.0,170,1-Dec,56.66,8.5,40.0,0,0
Player DM,LSG,3,6,6,22.5,225,29/1,75.0,9.85,45.66,0,0
Player H,LSG,3,6,6,19.0,229,55/2,76.33,12.05,38.0,0,0
Player W,LSG,2,14,2,1.4,13,2-Apr,6.5,7.8,5.0,0,0
Player BW,RCB,2,10,5,9.0,76,28/2,38.0,8.44,27.0,0,0
Player BL,SRH,2,5,4,7.0,60,1-Apr,30.0,8.57,21.0,0,0
Player DD,SRH,2,13,3,5.0,47,13/1,23.5,9.4,15.0,0,0
Player BZ,LSG,2,2,2,7.0,67,39/2,33.5,9.57,21.0,0,0
Player GE,PBKS,2,4,4,10.0,96,26/1,48.0,9.6,30.0,0,0
Player BS,RR,2,4,4,8.0,78,21/1,39.0,9.75,24.0,0,0
Player GA,GT,2,6,5,10.5,111,28/1,55.5,10.24,32.5,0,0
Player CS,DC,2,8,8,25.0,257,1-Oct,128.5,10.28,75.0,0,0
Player AO,GT,2,4,4,12.0,131,1-Oct,65.5,10.91,36.0,0,0
Player BK,GT,2,4,4,14.0,162,41/1,81.0,11.57,42.0,0,0
Player E,SRH,2,2,2,8.0,94,46/1,47.0,11.75,24.0,0,0
Player CK,LSG,2,2,2,8.0,100,40/2,50.0,12.5,24.0,0,0
Player FD,SRH,2,4,4,10.0,141,46/2,70.5,14.1,30.0,0,0
Player DG,RCB,1,1,1,4.0,26,26/1,26.0,6.5,24.0,0,0
Player P,KKR,1,1,1,4.0,27,27/1,27.0,6.75,24.0,0,0
Player AA,MI,1,2,2,7.0,55,26/1,55.0,7.85,42.0,0,0
Player DA,CSK,1,1,1,4.0,38,38/1,38.0,9.5,24.0,0,0
Player BR,GT,1,1,1,3.0,29,29/1,29.0,9.66,18.0,0,0
Player DL,PBKS,1,1,1,2.0,20,20/1,20.0,10.0,12.0,0,0
Player BU,RR,1,2,2,5.0,54,32/1,54.0,10.8,30.0,0,0
Player EN,CSK,1,5,5,12.0,133,34/1,133.0,11.08,72.0,0,0
Player EB,MI,1,1,1,3.3,39,39/1,39.0,11.14,21.0,0,0
Player DX,RCB,1,2,2,6.0,70,35/1,70.0,11.66,36.0,0,0
Player FE,KKR,1,4,4,11.2,133,42/1,133.0,11.73,68.0,0,0
Player CU,CSK,1,2,2,6.0,71,21/1,71.0,11.83,36.0,0,0
Player N,KKR,1,2,2,7.0,83,23/1,83.0,11.85,42.0,0,0
Player ES,LSG,1,3,3,8.3,102,41/1,102.0,12.0,51.0,0,0
Player GG,PBKS,1,2,2,6.3,79,39/1,79.0,12.15,39.0,0,0
Player CG,PBKS,1,13,9,14.1,175,14/1,175.0,12.35,85.0,0,0
Player ET,GT,1,15,1,1.0,13,13/1,13.0,13.0,6.0,0,0
Player FP,MI,1,2,2,4.0,53,40/1,53.0,13.25,24.0,0,0
Player CW,PBKS,1,1,1,2.0,27,27/1,27.0,13.5,12.0,0,0
Player CT,MI,1,1,1,2.0,28,28/1,28.0,14.0,12.0,0,0
